model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features,Scenario
Random Forest,True,True,0.9667603194901572,0.9696629747481688,0.9667603194901572,0.9666635368804424,"[1, 2, 3, 10, 12, 18, 20, 22, 25, 27, 41, 42, 45, 46, 47, 53, 54, 68, 70, 75, 76, 77, 78]",extra_trees,13,"anonymized train
anonymized test"
Random Forest,True,False,0.9089695450863432,0.9285431335609898,0.9089695450863432,0.906526658567156,"[1, 2, 3, 20, 22, 23, 25, 42, 45, 46, 47, 54, 55, 68, 70, 75, 76, 77, 78]",extra_trees,3,"not anonymized train
anonymized test"
Random Forest,False,True,0.7216492027523023,0.808562097100303,0.7216492027523023,0.698075309910075,"[1, 2, 3, 8, 14, 19, 20, 22, 23, 25, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28,"anonymized train
not anonymized test"
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 27, 45, 46, 47, 53, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,3,"not anonymized train
not anonymized test"
GaussianNB,True,True,0.5565705657056571,0.4337040552829188,0.5565705657056571,0.4319784684444959,"[1, 2, 3, 19, 20, 22, 24, 25, 27, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,63,"anonymized train
anonymized test"
GaussianNB,True,False,0.993160016798464,0.993273945257667,0.993160016798464,0.9931594338124596,"[1, 2, 3, 18, 19, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28,"not anonymized train
anonymized test"
GaussianNB,False,True,0.6656516565165652,0.6275818106015197,0.6656516565165652,0.5999351977376096,"[1, 2, 3, 14, 18, 19, 20, 22, 25, 27, 41, 43, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,58,"anonymized train
not anonymized test"
GaussianNB,False,False,0.999740000399944,0.9997401383251292,0.999740000399944,0.9997400003815844,"[1, 2, 3, 20, 22, 24, 25, 41, 42, 43, 45, 46, 55, 67, 68, 70, 75, 76, 77]",extra_trees,33,"not anonymized train
not anonymized test"
Mutilayer Perceptron,True,True,0.7207495228489215,0.8080077210118248,0.7207495228489215,0.6981285996331031,"[1, 2, 3, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 55, 63, 68, 70, 75, 76, 77, 78]",extra_trees,18,"anonymized train
anonymized test"
Mutilayer Perceptron,True,False,0.7939501504572855,0.8383719813300637,0.7939501504572855,0.7870855613117133,"[1, 2, 3, 8, 10, 12, 18, 19, 20, 22, 23, 25, 27, 42, 45, 46, 47, 53, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3,"not anonymized train
anonymized test"
Mutilayer Perceptron,False,True,0.8122802518599374,0.8129105679202006,0.8122802518599374,0.811933689311358,"[1, 2, 3, 10, 19, 20, 22, 25, 40, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,58,"anonymized train
not anonymized test"
Mutilayer Perceptron,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 12, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13,"not anonymized train
not anonymized test"
KNN,True,True,0.8757807146680094,0.9088924576820564,0.8757807146680094,0.8714011967689839,"[41, 67, 77]",mutual_info,3,"anonymized train
anonymized test"
KNN,True,False,0.9116004173781465,0.9299564423500484,0.9116004173781465,0.9100334233229392,"[8, 41, 67, 77]",mutual_info,4,"not anonymized train
anonymized test"
KNN,False,True,0.6665916659166592,0.4999250287123575,0.6665916659166592,0.5554799992853545,"[41, 67, 77]",mutual_info,3,"anonymized train
not anonymized test"
KNN,False,False,0.999980000099995,0.9999800012998932,0.999980000099995,0.999980000099968,"[41, 67]",mutual_info,2,"not anonymized train
not anonymized test"
Decision Tree,True,True,0.999850001199958,0.9998500713637968,0.999850001199958,0.9998500011911292,"[8, 41, 67, 77]",mutual_info,4,"anonymized train
anonymized test"
Decision Tree,True,False,0.999760000299949,0.9997601190399856,0.999760000299949,0.999760000285288,"[41, 55, 67, 77]",mutual_info,4,"not anonymized train
anonymized test"
