model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Random Forest,False,True,0.7915499026592835,0.8372223927671355,0.7915499026592835,0.784309949743105,"[46, 47, 76]",anova,3
Random Forest,False,False,0.999750000499945,0.9997501306297777,0.999750000499945,0.9997500004828453,"[46, 47, 76]",anova,3
GaussianNB,True,True,0.5963608631106411,0.6057788625662969,0.5963608631106411,0.48706366947150165,"[46, 47, 76]",anova,3
GaussianNB,True,False,0.8007403221569266,0.8289180369973289,0.8007403221569266,0.7959009858765097,"[46, 47, 76]",anova,3
GaussianNB,False,True,0.6232712327123271,0.4655714271879206,0.6232712327123271,0.5114124273539048,"[46, 47, 76]",anova,3
GaussianNB,False,False,0.990389988498193,0.9905686615061627,0.990389988498193,0.9903889507052037,"[46, 47, 76]",anova,3
Mutilayer Perceptron,True,True,0.643951243616354,0.7295273058686139,0.643951243616354,0.5916797939029433,"[46, 47, 76]",anova,3
Mutilayer Perceptron,True,False,0.8415189728785749,0.8713471712965514,0.8415189728785749,0.8368651223334397,"[46, 47, 76]",anova,3
Mutilayer Perceptron,False,True,0.7962481976772727,0.8666161619259286,0.7962481976772727,0.7781861170289065,"[46, 47, 76]",anova,3
Mutilayer Perceptron,False,False,0.999680000699929,0.9996800690534099,0.999680000699929,0.9996800006885982,"[46, 47, 76]",anova,3
KNN,True,True,0.6535397936327717,0.7631854186579269,0.6535397936327717,0.6113219626958141,"[1, 46, 47, 76]",anova,4
KNN,True,False,0.69285137202485,0.7806621846783072,0.69285137202485,0.6527422765017921,"[1, 46, 47, 76]",anova,4
KNN,False,True,0.6603406794252739,0.7689618302890239,0.6603406794252739,0.6184124281663399,"[1, 46, 47, 76]",anova,4
KNN,False,False,0.999750000499945,0.9997501306297777,0.999750000499945,0.9997500004828453,"[1, 46, 47, 76]",anova,4
Decision Tree,True,True,0.44827792521040344,0.446955384947412,0.44827792521040344,0.4287815559634727,"[1, 46, 47, 76]",anova,4
Decision Tree,True,False,0.6913189747485163,0.6401894231053104,0.6913189747485163,0.6305419261998287,"[1, 46, 47, 76]",anova,4
Decision Tree,False,True,0.6612686064461893,0.6236144343659983,0.6612686064461893,0.594221877173808,"[1, 46, 47, 76]",anova,4
Decision Tree,False,False,0.999740000399944,0.9997401383251292,0.999740000399944,0.9997400003815843,"[1, 46, 47, 76]",anova,4
Random Forest,True,True,0.7179594733488583,0.7921991218498793,0.7179594733488583,0.6975830642170183,"[1, 46, 47, 76]",anova,4
Random Forest,True,False,0.6510595258349535,0.6183854851407035,0.6510595258349535,0.5890022082517583,"[1, 46, 47, 76]",anova,4
Random Forest,False,True,0.5840898164186538,0.6733229860860946,0.5840898164186538,0.539453068456785,"[1, 46, 47, 76]",anova,4
Random Forest,False,False,0.999740000399944,0.9997401383251292,0.999740000399944,0.9997400003815843,"[1, 46, 47, 76]",anova,4
GaussianNB,True,True,0.4737587131076207,0.4219331424908808,0.4737587131076207,0.3742264464962732,"[1, 46, 47, 76]",anova,4
GaussianNB,True,False,0.6557068858622829,0.4896918947610526,0.6557068858622829,0.5445843433116312,"[1, 46, 47, 76]",anova,4
GaussianNB,False,True,0.38026857799027386,0.3958886053358294,0.38026857799027386,0.2898611853999227,"[1, 46, 47, 76]",anova,4
GaussianNB,False,False,0.989539993197976,0.9897557770558181,0.989539993197976,0.9895386041319938,"[1, 46, 47, 76]",anova,4
Mutilayer Perceptron,True,True,0.5686478029357002,0.49205812507754026,0.5686478029357002,0.48149813869276264,"[1, 46, 47, 76]",anova,4
Mutilayer Perceptron,True,False,0.7604196723553605,0.8249725802281059,0.7604196723553605,0.7465949601558153,"[1, 46, 47, 76]",anova,4
Mutilayer Perceptron,False,True,0.6302004992210479,0.7590119122441209,0.6302004992210479,0.5733842778522865,"[1, 46, 47, 76]",anova,4
Mutilayer Perceptron,False,False,0.999660001699915,0.9996600604667379,0.999660001699915,0.9996600016916078,"[1, 46, 47, 76]",anova,4
KNN,True,True,0.3988997938818411,0.26762612864971885,0.3988997938818411,0.3015977827751446,"[1, 45, 46, 47, 76]",anova,5
KNN,True,False,0.7760898530566873,0.8321583917228969,0.7760898530566873,0.7659702835715351,"[1, 45, 46, 47, 76]",anova,5
KNN,False,True,0.56920069200692,0.4384060510467836,0.56920069200692,0.44899369931943234,"[1, 45, 46, 47, 76]",anova,5
KNN,False,False,0.999780004399912,0.9997802440738764,0.999780004399912,0.9997800043207167,"[1, 45, 46, 47, 76]",anova,5
Decision Tree,True,True,0.6681006904267158,0.7746939912523709,0.6681006904267158,0.6220373281001893,"[1, 45, 46, 47, 76]",anova,5
