model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Mutilayer Perceptron,True,True,0.8883511712659576,0.9043830026505025,0.8883511712659576,0.8858349356158005,"[76, 78]",chi2,2
Mutilayer Perceptron,True,False,0.7822801864545915,0.8243269251651757,0.7822801864545915,0.7750657928152288,"[76, 78]",chi2,2
Mutilayer Perceptron,False,True,0.97727017739368,0.9778778260192222,0.97727017739368,0.9772602994950552,"[76, 78]",chi2,2
Mutilayer Perceptron,False,False,0.996330049398772,0.9963734808048584,0.996330049398772,0.9963298620392473,"[76, 78]",chi2,2
KNN,True,True,0.9589598247935439,0.9644586475640633,0.9589598247935439,0.9586440177307981,"[76, 77, 78]",chi2,3
KNN,True,False,0.9647004521884183,0.9652775073191228,0.9647004521884183,0.9646853560722305,"[76, 77, 78]",chi2,3
KNN,False,True,0.9792700200956531,0.9800935728790958,0.9792700200956531,0.979260955113674,"[76, 77, 78]",chi2,3
KNN,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[76, 77, 78]",chi2,3
Decision Tree,True,True,0.8882409493681546,0.91319707652164,0.8882409493681546,0.8848729647912491,"[76, 77, 78]",chi2,3
Decision Tree,True,False,0.8590486672851368,0.8890794682707034,0.8590486672851368,0.8543633706833246,"[76, 77, 78]",chi2,3
Decision Tree,False,True,0.858839622175546,0.8986518980872846,0.858839622175546,0.8495340464612183,"[76, 77, 78]",chi2,3
Decision Tree,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[76, 77, 78]",chi2,3
Random Forest,True,True,0.7231502488421416,0.7947381831347812,0.7231502488421416,0.6899844079503391,"[76, 77, 78]",chi2,3
Random Forest,True,False,0.9000090027899739,0.9322143670386502,0.9000090027899739,0.8911777830624298,"[76, 77, 78]",chi2,3
Random Forest,False,True,0.8909308955692304,0.9145591680464197,0.8909308955692304,0.8879184806393775,"[76, 77, 78]",chi2,3
Random Forest,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[76, 77, 78]",chi2,3
GaussianNB,True,True,0.7249511146338438,0.8050505424737371,0.7249511146338438,0.6980705790688408,"[76, 77, 78]",chi2,3
GaussianNB,True,False,0.6818106832295298,0.7965969499362062,0.6818106832295298,0.6413276167035545,"[76, 77, 78]",chi2,3
GaussianNB,False,True,0.6418302609257568,0.7895653466828211,0.6418302609257568,0.5888937349000446,"[76, 77, 78]",chi2,3
GaussianNB,False,False,0.6410802759254568,0.7903561830496107,0.6410802759254568,0.5875047152580704,"[76, 77, 78]",chi2,3
Mutilayer Perceptron,True,True,0.9151104350786713,0.9237477123620161,0.9151104350786713,0.9145345015592232,"[76, 77, 78]",chi2,3
Mutilayer Perceptron,True,False,0.9590706244855692,0.9635788228447416,0.9590706244855692,0.9587959916568618,"[76, 77, 78]",chi2,3
Mutilayer Perceptron,False,True,0.9665896685966319,0.9717826622764769,0.9665896685966319,0.9662752875567041,"[76, 77, 78]",chi2,3
Mutilayer Perceptron,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[76, 77, 78]",chi2,3
KNN,True,True,0.9511607916823154,0.9543514872182618,0.9511607916823154,0.9509054078098936,"[75, 76, 77, 78]",chi2,4
KNN,True,False,0.9304603410826813,0.9390708856240725,0.9304603410826813,0.9299062247124771,"[75, 76, 77, 78]",chi2,4
KNN,False,True,0.9133901670810073,0.9236940702149251,0.9133901670810073,0.9127872354596698,"[75, 76, 77, 78]",chi2,4
KNN,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[75, 76, 77, 78]",chi2,4
Decision Tree,True,True,0.8881599153784783,0.9004512256757017,0.8881599153784783,0.887302265214581,"[75, 76, 77, 78]",chi2,4
Decision Tree,True,False,0.8191881945818918,0.8575490861241266,0.8191881945818918,0.8081298934351483,"[75, 76, 77, 78]",chi2,4
Decision Tree,False,True,0.96486965139646,0.9693320294984705,0.96486965139646,0.9645808680451012,"[75, 76, 77, 78]",chi2,4
Decision Tree,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[75, 76, 77, 78]",chi2,4
Random Forest,True,True,0.9234812210724854,0.9426096272607584,0.9234812210724854,0.9207586038806422,"[75, 76, 77, 78]",chi2,4
Random Forest,True,False,0.8624686273862198,0.8930791513400881,0.8624686273862198,0.8577338935678438,"[75, 76, 77, 78]",chi2,4
Random Forest,False,True,0.7519507870425196,0.8159748781802465,0.7519507870425196,0.7336811916996058,"[75, 76, 77, 78]",chi2,4
Random Forest,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[75, 76, 77, 78]",chi2,4
GaussianNB,True,True,0.6411902737255007,0.7903923494581195,0.6411902737255007,0.5876792125927687,"[75, 76, 77, 78]",chi2,4
GaussianNB,True,False,0.6410802759254568,0.7903561830496107,0.6410802759254568,0.5875047152580704,"[75, 76, 77, 78]",chi2,4
GaussianNB,False,True,0.6415002801254989,0.7895528955103673,0.6415002801254989,0.58830153488269,"[75, 76, 77, 78]",chi2,4
GaussianNB,False,False,0.6410802759254568,0.7903561830496107,0.6410802759254568,0.5875047152580704,"[75, 76, 77, 78]",chi2,4
