model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Mutilayer Perceptron,True,True,0.4500688038019758,0.3963021689778928,0.4500688038019758,0.3693224144177252,"[1, 2, 3, 10, 18, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,8
Mutilayer Perceptron,True,False,0.7188313996297699,0.7474005413979562,0.7188313996297699,0.7136170522555362,"[1, 2, 3, 10, 18, 20, 22, 24, 25, 27, 41, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
Mutilayer Perceptron,False,True,0.41181697801258327,0.4024537647177342,0.41181697801258327,0.4061906746258705,"[1, 2, 3, 18, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
Mutilayer Perceptron,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[1, 2, 3, 8, 10, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,8
KNN,True,True,0.49263014319709403,0.3258703413795863,0.49263014319709403,0.3804294525250365,"[1, 2, 3, 8, 12, 19, 22, 23, 24, 41, 42, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
KNN,True,False,0.7921699865585685,0.8382127481129347,0.7921699865585685,0.7849263516486973,"[1, 2, 3, 8, 18, 20, 22, 23, 25, 41, 45, 46, 47, 55, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
KNN,False,True,0.5495305301046051,0.4278012623895246,0.5495305301046051,0.432009971148181,"[1, 2, 3, 8, 10, 19, 22, 24, 41, 45, 46, 47, 67, 68, 70, 75, 76, 77, 78]",extra_trees,13
KNN,False,False,0.999939999699991,0.9999400056989053,0.999939999699991,0.999939999699658,"[1, 2, 3, 10, 20, 22, 27, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
Decision Tree,True,True,0.7096501153407765,0.796959618203876,0.7096501153407765,0.684250627691406,"[1, 2, 3, 8, 10, 18, 20, 22, 23, 25, 42, 45, 46, 47, 64, 68, 69, 70, 75, 76, 77, 78]",extra_trees,13
Decision Tree,True,False,0.7603191046610173,0.6911608128184725,0.7603191046610173,0.7035072116450026,"[1, 2, 3, 22, 23, 25, 27, 41, 43, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
Decision Tree,False,True,0.7836600793559385,0.8237812300269067,0.7836600793559385,0.7768124008481522,"[1, 2, 3, 8, 18, 19, 20, 22, 23, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,13
Decision Tree,False,False,0.999989999899999,0.999990000499957,0.999989999899999,0.9999899998999809,"[1, 2, 3, 20, 22, 23, 24, 25, 32, 41, 42, 45, 46, 47, 53, 55, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
Random Forest,True,True,0.9667603194901572,0.9696629747481689,0.9667603194901572,0.9666635368804423,"[1, 2, 3, 10, 12, 18, 20, 22, 25, 27, 41, 42, 45, 46, 47, 53, 54, 68, 70, 75, 76, 77, 78]",extra_trees,13
Random Forest,True,False,0.8171483217802118,0.8393352229083414,0.8171483217802118,0.8113407802947115,"[1, 2, 3, 8, 10, 18, 19, 22, 24, 27, 41, 42, 45, 46, 47, 55, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
Random Forest,False,True,0.6266997457278827,0.7114656034900378,0.6266997457278827,0.576612871409894,"[1, 2, 3, 8, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77]",extra_trees,13
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 56, 64, 68, 70, 75, 76, 77, 78]",extra_trees,13
